Class,ACC_MAG_mean,ACC_MAG_std,GYRO_MAG_mean,GYRO_MAG_std
COW EATING CLEAN DATA,0.16718767164472634,0.042565737412185604,0.0365758953186541,0.019271439433588625
COW RESTING CLEAN DATA,0.16723894516926605,0.00766398435092633,0.005746640428563399,0.00465851045092645
COW RUMINATION CLEAN DATA,0.16378387479113218,0.0022373815234076225,0.0017786140616361254,0.0007681799467588701
COW WALKING CLEAN DATA,0.16651850037905117,0.02098308277986854,0.03177354295609449,0.020711917330734242
MOUNTING RAW DATA,0.17627910879387795,0.08756245124313881,0.08644561173990692,0.09575664649381592
